year,month,city,state,disaster_type,severity,latitude,longitude,pop_density,elevation_m,coast_km,annual_rainfall_mm,seismic_zone,affected_population,total_deaths,data_source,risk_level,season
2000,7,Delhi,Delhi,drought,10,28.704,77.102,11320,216,1400,797,4,300000000.0,0.0,emdat,Critical,monsoon
2000,6,Ahmedabad,Gujarat,flood,6,23.022,72.571,9000,53,260,782,3,405000.0,239.0,emdat,High,monsoon
2000,7,Ahmedabad,Gujarat,flood,4,23.022,72.571,9000,53,260,782,3,8400.0,24.0,emdat,Medium,monsoon
2000,7,Surat,Gujarat,flood,10,21.17,72.831,8200,13,20,1143,3,4000065.0,350.0,emdat,Critical,monsoon
2000,6,Visakhapatnam,AP,flood,4,17.686,83.218,3400,45,0,1020,3,50000.0,29.0,emdat,Medium,monsoon
2000,11,Chennai,Tamil Nadu,flood,8,13.082,80.27,7088,6,0,1400,3,803740.0,54.0,emdat,High,post-monsoon
2000,5,Chennai,Tamil Nadu,flood,4,13.082,80.27,7088,6,0,1400,3,50000.0,27.0,emdat,Medium,summer
2000,9,Lucknow,UP,flood,10,26.846,80.946,2400,123,1100,890,3,3267183.0,200.0,emdat,Critical,monsoon
2000,9,Delhi,Delhi,flood,4,28.704,77.102,11320,216,1400,797,4,200.0,45.0,emdat,Medium,monsoon
2000,8,Bhopal,MP,flood,4,23.259,77.412,3400,527,700,1146,2,40000.0,73.0,emdat,Medium,monsoon
2000,5,Delhi,Delhi,cyclone,4,28.704,77.102,11320,216,1400,797,4,26.0,15.0,emdat,Medium,summer
2000,8,Visakhapatnam,AP,flood,10,17.686,83.218,3400,45,0,1020,3,3600000.0,47.0,emdat,Critical,monsoon
2000,11,Chennai,Tamil Nadu,flood,10,13.082,80.27,7088,6,0,1400,3,1801000.0,325.0,emdat,Critical,post-monsoon
2000,9,Bhubaneswar,Odisha,flood,10,20.296,85.824,3500,45,120,1500,3,3443989.0,239.0,emdat,Critical,monsoon
2000,8,Kolkata,West Bengal,flood,10,22.572,88.363,24252,9,130,1582,3,5549080.0,204.0,emdat,Critical,monsoon
2000,6,Delhi,Delhi,flood,8,28.704,77.102,11320,216,1400,797,4,504473.0,6054.0,emdat,Critical,monsoon
2000,4,Lucknow,UP,earthquake,4,26.846,80.946,2400,123,1100,890,3,560.0,78.0,emdat,Medium,summer
2000,6,Surat,Gujarat,flood,4,21.17,72.831,8200,13,20,1143,3,9000.0,81.0,emdat,Medium,monsoon
2000,7,Lucknow,UP,flood,10,26.846,80.946,2400,123,1100,890,3,13709887.0,293.0,emdat,Critical,monsoon
2000,10,Delhi,Delhi,earthquake,4,28.704,77.102,11320,216,1400,797,4,10.0,0.0,emdat,Low,post-monsoon
2000,5,Jaipur,Rajasthan,cyclone,4,26.912,75.787,6900,431,800,650,2,1970.0,0.0,emdat,Low,summer
2000,7,Visakhapatnam,AP,flood,4,17.686,83.218,3400,45,0,1020,3,41430.0,20.0,emdat,Medium,monsoon
2000,5,Visakhapatnam,AP,cyclone,10,17.686,83.218,3400,45,0,1020,3,20000000.0,50.0,emdat,Critical,summer
2000,10,Hyderabad,Telangana,flood,6,17.385,78.486,18480,542,560,812,2,150000.0,152.0,emdat,High,post-monsoon
2000,11,Bangalore,Karnataka,flood,4,12.971,77.594,4381,920,340,970,2,8.0,70.0,emdat,Medium,post-monsoon
2000,3,Bangalore,Karnataka,flood,4,12.971,77.594,4381,920,340,970,2,10278.0,37.0,emdat,Medium,summer
2000,7,Kochi,Kerala,flood,4,9.931,76.267,2100,8,0,3067,3,35000.0,44.0,emdat,Medium,monsoon
2000,8,Bhubaneswar,Odisha,flood,6,20.296,85.824,3500,45,120,1500,3,500000.0,15.0,emdat,High,monsoon
2000,7,Kolkata,West Bengal,flood,10,22.572,88.363,24252,9,130,1582,3,18700000.0,1103.0,emdat,Critical,monsoon
2000,7,Mumbai,Maharashtra,flood,4,19.076,72.877,20667,14,0,2167,3,10000.0,62.0,emdat,Medium,monsoon
2000,10,Chennai,Tamil Nadu,flood,6,13.082,80.27,7088,6,0,1400,3,225000.0,47.0,emdat,High,post-monsoon
2000,5,Kolkata,West Bengal,cyclone,4,22.572,88.363,24252,9,130,1582,3,20.0,11.0,emdat,Medium,summer
2000,12,Ahmedabad,Gujarat,earthquake,4,23.971,69.763,9000,53,260,782,3,60000.0,0.0,usgs,Medium,winter
2001,1,Ahmedabad,Gujarat,earthquake,10,23.419,70.232,9000,53,260,782,3,1500000.0,0.0,usgs,Critical,winter
2001,2,Ahmedabad,Gujarat,earthquake,6,23.568,70.072,9000,53,260,782,3,220000.0,0.0,usgs,High,winter
2001,3,Ahmedabad,Gujarat,earthquake,4,23.393,70.105,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2001,4,Ahmedabad,Gujarat,earthquake,4,23.52,70.548,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2001,5,Ahmedabad,Gujarat,earthquake,4,23.376,70.213,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2001,6,Ahmedabad,Gujarat,earthquake,4,23.365,70.06,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2001,7,Ahmedabad,Gujarat,earthquake,4,23.725,70.208,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2001,8,Ahmedabad,Gujarat,earthquake,4,22.979,70.543,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2001,9,Ahmedabad,Gujarat,earthquake,4,23.468,70.075,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2001,10,Ahmedabad,Gujarat,earthquake,4,23.766,70.086,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2001,11,Ahmedabad,Gujarat,earthquake,4,23.615,70.414,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2001,12,Ahmedabad,Gujarat,earthquake,4,23.765,70.051,9000,53,260,782,3,60000.0,0.0,usgs,Medium,winter
2002,1,Ahmedabad,Gujarat,earthquake,4,23.148,69.757,9000,53,260,782,3,60000.0,0.0,usgs,Medium,winter
2002,3,Ahmedabad,Gujarat,earthquake,4,23.483,70.345,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2002,4,Ahmedabad,Gujarat,earthquake,4,23.393,70.024,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2002,8,Ahmedabad,Gujarat,earthquake,4,23.409,70.306,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2003,1,Ahmedabad,Gujarat,earthquake,4,23.149,70.636,9000,53,260,782,3,60000.0,0.0,usgs,Medium,winter
2003,2,Ahmedabad,Gujarat,earthquake,4,23.386,70.218,9000,53,260,782,3,60000.0,0.0,usgs,Medium,winter
2003,8,Ahmedabad,Gujarat,earthquake,6,23.689,70.435,9000,53,260,782,3,220000.0,0.0,usgs,High,monsoon
2003,9,Ahmedabad,Gujarat,earthquake,2,23.886,69.588,9000,53,260,782,3,5000.0,0.0,usgs,Low,monsoon
2003,10,Ahmedabad,Gujarat,earthquake,4,23.375,69.916,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2004,4,Ahmedabad,Gujarat,earthquake,4,22.418,70.474,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2004,7,Ahmedabad,Gujarat,earthquake,2,23.905,71.57,9000,53,260,782,3,5000.0,0.0,usgs,Low,monsoon
2004,8,Ahmedabad,Gujarat,earthquake,2,23.457,70.512,9000,53,260,782,3,5000.0,0.0,usgs,Low,monsoon
2006,2,Ahmedabad,Gujarat,earthquake,4,23.827,70.559,9000,53,260,782,3,60000.0,0.0,usgs,Medium,winter
2006,3,Ahmedabad,Gujarat,earthquake,6,23.777,70.899,9000,53,260,782,3,220000.0,0.0,usgs,High,summer
2006,4,Ahmedabad,Gujarat,earthquake,6,23.322,70.477,9000,53,260,782,3,220000.0,0.0,usgs,High,summer
2006,5,Ahmedabad,Gujarat,earthquake,4,23.144,70.196,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2006,6,Ahmedabad,Gujarat,earthquake,4,23.462,70.116,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2006,8,Ahmedabad,Gujarat,earthquake,4,23.26,70.72,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2007,4,Ahmedabad,Gujarat,earthquake,4,23.083,70.187,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2007,7,Ahmedabad,Gujarat,earthquake,4,23.641,70.639,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2007,10,Ahmedabad,Gujarat,earthquake,4,23.104,69.983,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2008,3,Ahmedabad,Gujarat,earthquake,4,25.142,70.66,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2008,4,Ahmedabad,Gujarat,earthquake,2,23.147,70.445,9000,53,260,782,3,5000.0,0.0,usgs,Low,summer
2009,4,Ahmedabad,Gujarat,earthquake,6,27.143,70.749,9000,53,260,782,3,220000.0,0.0,usgs,High,summer
2009,9,Ahmedabad,Gujarat,earthquake,4,23.123,70.249,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2009,10,Ahmedabad,Gujarat,earthquake,4,23.65,69.843,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2010,9,Ahmedabad,Gujarat,earthquake,4,23.625,71.898,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2010,11,Ahmedabad,Gujarat,earthquake,4,25.23,73.649,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2011,8,Ahmedabad,Gujarat,earthquake,4,23.321,70.242,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2012,4,Ahmedabad,Gujarat,earthquake,4,23.239,70.439,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2012,6,Ahmedabad,Gujarat,earthquake,6,23.647,70.252,9000,53,260,782,3,220000.0,0.0,usgs,High,monsoon
2012,12,Ahmedabad,Gujarat,earthquake,4,22.96,70.302,9000,53,260,782,3,60000.0,0.0,usgs,Medium,winter
2013,3,Ahmedabad,Gujarat,earthquake,4,24.362,68.572,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2013,7,Ahmedabad,Gujarat,earthquake,4,23.2863,70.4026,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2015,10,Ahmedabad,Gujarat,earthquake,4,24.0615,70.2017,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2018,3,Ahmedabad,Gujarat,earthquake,4,23.1716,70.4448,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2019,6,Ahmedabad,Gujarat,earthquake,4,24.537,72.7357,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2019,11,Ahmedabad,Gujarat,earthquake,4,23.5799,70.4585,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2020,5,Ahmedabad,Gujarat,earthquake,4,22.1166,68.963,9000,53,260,782,3,60000.0,0.0,usgs,Medium,summer
2020,6,Ahmedabad,Gujarat,earthquake,6,23.3821,70.3548,9000,53,260,782,3,220000.0,0.0,usgs,High,monsoon
2020,7,Ahmedabad,Gujarat,earthquake,4,22.2558,70.9928,9000,53,260,782,3,60000.0,0.0,usgs,Medium,monsoon
2021,11,Ahmedabad,Gujarat,earthquake,4,25.1721,72.5323,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2024,11,Ahmedabad,Gujarat,earthquake,4,23.6308,72.0385,9000,53,260,782,3,60000.0,0.0,usgs,Medium,post-monsoon
2000,10,Bhopal,MP,earthquake,4,23.28,80.3,3400,527,700,1146,2,60000.0,0.0,usgs,Medium,post-monsoon
2020,11,Bhopal,MP,earthquake,4,22.1407,79.6342,3400,527,700,1146,2,60000.0,0.0,usgs,Medium,post-monsoon
2022,11,Bhopal,MP,earthquake,4,23.0012,80.1303,3400,527,700,1146,2,60000.0,0.0,usgs,Medium,post-monsoon
2024,9,Bhopal,MP,earthquake,4,21.343,77.2016,3400,527,700,1146,2,60000.0,0.0,usgs,Medium,monsoon
2000,10,Bhubaneswar,Odisha,earthquake,4,23.08,82.728,3500,45,120,1500,3,60000.0,0.0,usgs,Medium,post-monsoon
2001,6,Bhubaneswar,Odisha,earthquake,4,22.223,83.948,3500,45,120,1500,3,60000.0,0.0,usgs,Medium,monsoon
2009,3,Bhubaneswar,Odisha,earthquake,4,22.399,85.903,3500,45,120,1500,3,60000.0,0.0,usgs,Medium,summer
2014,5,Bhubaneswar,Odisha,earthquake,8,18.2012,88.0376,3500,45,120,1500,3,900000.0,0.0,usgs,High,summer
2021,6,Bhubaneswar,Odisha,earthquake,2,21.0204,85.0848,3500,45,120,1500,3,5000.0,0.0,usgs,Low,monsoon
2001,9,Chennai,Tamil Nadu,earthquake,6,11.956,80.214,7088,6,0,1400,3,220000.0,0.0,usgs,High,monsoon
2021,8,Chennai,Tamil Nadu,earthquake,6,14.4654,83.0456,7088,6,0,1400,3,220000.0,0.0,usgs,High,monsoon
2000,1,Delhi,Delhi,earthquake,4,33.53,76.484,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,winter
2000,2,Delhi,Delhi,earthquake,2,31.32,77.099,11320,216,1400,797,4,5000.0,0.0,usgs,Low,winter
2000,4,Delhi,Delhi,earthquake,4,31.601,78.305,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,summer
2000,5,Delhi,Delhi,earthquake,2,33.406,78.558,11320,216,1400,797,4,5000.0,0.0,usgs,Low,summer
2000,6,Delhi,Delhi,earthquake,4,32.024,78.437,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2000,7,Delhi,Delhi,earthquake,4,32.101,78.442,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2000,8,Delhi,Delhi,earthquake,4,32.001,78.407,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2000,9,Delhi,Delhi,earthquake,4,33.377,75.614,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2000,10,Delhi,Delhi,earthquake,4,31.732,73.532,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,post-monsoon
2000,11,Delhi,Delhi,earthquake,2,31.181,77.949,11320,216,1400,797,4,5000.0,0.0,usgs,Low,post-monsoon
2000,12,Delhi,Delhi,earthquake,2,32.538,76.894,11320,216,1400,797,4,5000.0,0.0,usgs,Low,winter
2001,1,Delhi,Delhi,earthquake,2,32.884,76.376,11320,216,1400,797,4,5000.0,0.0,usgs,Low,winter
2001,2,Delhi,Delhi,earthquake,4,30.998,78.066,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,winter
2001,3,Delhi,Delhi,earthquake,4,30.406,79.022,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,summer
2001,4,Delhi,Delhi,earthquake,2,28.588,76.841,11320,216,1400,797,4,5000.0,0.0,usgs,Low,summer
2001,6,Delhi,Delhi,earthquake,4,32.479,78.31,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2001,7,Delhi,Delhi,earthquake,4,31.283,73.109,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2001,8,Delhi,Delhi,earthquake,4,30.486,79.167,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2001,9,Delhi,Delhi,earthquake,4,33.265,75.738,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2001,10,Delhi,Delhi,earthquake,4,32.564,76.065,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,post-monsoon
2002,1,Delhi,Delhi,earthquake,6,33.123,75.91,11320,216,1400,797,4,220000.0,0.0,usgs,High,winter
2002,2,Delhi,Delhi,earthquake,2,31.351,73.74,11320,216,1400,797,4,5000.0,0.0,usgs,Low,winter
2002,3,Delhi,Delhi,earthquake,4,32.948,76.213,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,summer
2002,9,Delhi,Delhi,earthquake,4,31.23,77.76,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2002,10,Delhi,Delhi,earthquake,4,31.73,77.21,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,post-monsoon
2003,3,Delhi,Delhi,earthquake,4,31.519,78.62,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,summer
2003,4,Delhi,Delhi,earthquake,4,32.874,76.761,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,summer
2003,5,Delhi,Delhi,earthquake,4,30.383,79.087,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,summer
2003,8,Delhi,Delhi,earthquake,4,31.007,73.437,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2003,12,Delhi,Delhi,earthquake,4,32.548,76.626,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,winter
2004,2,Delhi,Delhi,earthquake,2,33.005,78.874,11320,216,1400,797,4,5000.0,0.0,usgs,Low,winter
2004,4,Delhi,Delhi,earthquake,4,28.858,78.418,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,summer
2004,7,Delhi,Delhi,earthquake,4,29.25,77.23,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2004,8,Delhi,Delhi,earthquake,4,31.246,72.804,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2004,9,Delhi,Delhi,earthquake,2,29.97,79.671,11320,216,1400,797,4,5000.0,0.0,usgs,Low,monsoon
2004,11,Delhi,Delhi,earthquake,4,32.22,76.409,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,post-monsoon
2005,2,Delhi,Delhi,earthquake,4,32.534,76.624,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,winter
2005,4,Delhi,Delhi,earthquake,4,32.671,76.41,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,summer
2005,5,Delhi,Delhi,earthquake,2,31.126,78.522,11320,216,1400,797,4,5000.0,0.0,usgs,Low,summer
2005,7,Delhi,Delhi,earthquake,4,32.729,76.312,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2005,8,Delhi,Delhi,earthquake,4,30.924,78.56,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2005,9,Delhi,Delhi,earthquake,4,30.406,79.151,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2005,10,Delhi,Delhi,earthquake,4,33.078,76.208,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,post-monsoon
2005,11,Delhi,Delhi,earthquake,2,29.962,79.967,11320,216,1400,797,4,5000.0,0.0,usgs,Low,post-monsoon
2005,12,Delhi,Delhi,earthquake,6,30.476,79.255,11320,216,1400,797,4,220000.0,0.0,usgs,High,winter
2006,1,Delhi,Delhi,earthquake,4,32.791,78.581,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,winter
2006,2,Delhi,Delhi,earthquake,2,30.298,80.119,11320,216,1400,797,4,5000.0,0.0,usgs,Low,winter
2006,3,Delhi,Delhi,earthquake,2,28.976,76.606,11320,216,1400,797,4,5000.0,0.0,usgs,Low,summer
2006,4,Delhi,Delhi,earthquake,2,32.569,76.664,11320,216,1400,797,4,5000.0,0.0,usgs,Low,summer
2006,5,Delhi,Delhi,earthquake,6,33.148,76.241,11320,216,1400,797,4,220000.0,0.0,usgs,High,summer
2006,6,Delhi,Delhi,earthquake,2,32.729,76.198,11320,216,1400,797,4,5000.0,0.0,usgs,Low,monsoon
2006,7,Delhi,Delhi,earthquake,4,31.642,78.038,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2006,9,Delhi,Delhi,earthquake,4,33.227,75.493,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,monsoon
2006,10,Delhi,Delhi,earthquake,4,29.875,80.035,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,post-monsoon
2006,12,Delhi,Delhi,earthquake,4,31.507,77.027,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,winter
2007,1,Delhi,Delhi,earthquake,2,31.31,80.096,11320,216,1400,797,4,5000.0,0.0,usgs,Low,winter
2007,2,Delhi,Delhi,earthquake,4,31.373,77.752,11320,216,1400,797,4,60000.0,0.0,usgs,Medium,winter
